#iterations	mean Measure
57001	7.019768568278201E-4
57501	7.048761126703804E-4
58001	7.089783317943559E-4
58501	7.103570328398357E-4
59001	7.144835121275389E-4
59501	7.183330173139233E-4
60001	7.213104278370455E-4
60501	7.224269910738579E-4
61001	7.269697997227478E-4
61501	7.289895218346048E-4
62001	7.333427011980762E-4
62001	7.333427011980762E-4
62501	7.385349892317142E-4
63001	7.43267881778548E-4
63501	7.494927574813385E-4
64001	7.559404360471997E-4
64501	7.610336337176657E-4
64501	7.610336337176657E-4
64501	7.610336337176657E-4
64501	7.610336337176657E-4
65001	7.676377151377084E-4
65501	7.727309341862723E-4
66001	7.79100831646821E-4
66001	7.79100831646821E-4
66501	7.842507053148892E-4
67001	7.878039152125784E-4
67501	7.939103022858063E-4
68001	8.000890458595599E-4
68501	8.050995758693651E-4
68501	8.050995758693651E-4
68501	8.050995758693651E-4
69001	8.096541128465672E-4
69501	8.137028702800257E-4
